质数,个,质数差,质数差差
103049,9856,6,-30
103043,9855,36,30
103007,9854,6,-12
103001,9853,18,2
102983,9852,16,2
102967,9851,14,-8
102953,9850,22,20
102931,9849,2,-14
102929,9848,16,14
102913,9847,2,-28
102911,9846,30,26
102881,9845,4,-2
102877,9844,6,-6
102871,9843,12,-6
102859,9842,18,6
102841,9841,12,-6
102829,9840,18,4
102811,9839,14,10
102797,9838,4,-20
102793,9837,24,18
102769,9836,6,4
102763,9835,2,-58
102761,9834,60,38
102701,9833,22,20
102679,9832,2,-2
102677,9831,4,-2
102673,9830,6,-8
102667,9829,14,8
102653,9828,6,2
102647,9827,4,-28
102643,9826,32,28
102611,9825,4,-10
102607,9824,14,8
102593,9823,6,-18
102587,9822,24,20
102563,9821,4,-4
102559,9820,8,4
102551,9819,4,-4
102547,9818,8,2
102539,9817,6,-4
102533,9816,10,-10
102523,9815,20,16
102503,9814,4,2
102499,9813,2,-14
102497,9812,16,-4
102481,9811,20,10
102461,9810,10,-4
102451,9809,14,10
102437,9808,4,-20
102433,9807,24,22
102409,9806,2,-8
102407,9805,10,-20
102397,9804,30,22
102367,9803,8,-14
102359,9802,22,14
102337,9801,8,-4
102329,9800,12,-4
102317,9799,16,14
102301,9798,2,-4
102299,9797,6,-28
102293,9796,34,28
102259,9795,6,4
102253,9794,2,-8
102251,9793,10,2
102241,9792,8,4
102233,9791,4,-8
102229,9790,12,-2
102217,9789,14,10
102203,9788,4,2
102199,9787,2,-4
102197,9786,6,-4
102191,9785,10,-10
102181,9784,20,8
102161,9783,12,2
102149,9782,10,-8
102139,9781,18,4
102121,9780,14,10
102107,9779,4,2
102103,9778,2,-20
102101,9777,22,20
102079,9776,2,-4
102077,9775,6,-4
102071,9774,10,8
102061,9773,2,-14
102059,9772,16,4
102043,9771,12,4
102031,9770,8,4
102023,9769,4,-2
102019,9768,6,-6
102013,9767,12,10
102001,9766,2,-10
101999,9765,12,2
101987,9764,10,-4
101977,9763,14,8
101963,9762,6,-12
101957,9761,18,8
101939,9760,10,2
101929,9759,8,4
101921,9758,4,-22
101917,9757,26,14
101891,9756,12,6
101879,9755,6,2
101873,9754,4,-2
101869,9753,6,-18
101863,9752,24,22
101839,9751,2,-2
101837,9750,4,-22
101833,9749,26,16
101807,9748,10,2
101797,9747,8,-10
101789,9746,18,-4
101771,9745,22,20
101749,9744,2,-4
101747,9743,6,2
101741,9742,4,-10
101737,9741,14,10
101723,9740,4,-14
101719,9739,18,10
101701,9738,8,-4
101693,9737,12,-6
101681,9736,18,8
101663,9735,10,-2
101653,9734,12,-2
101641,9733,14,-2
101627,9732,16,8
101611,9731,8,4
101603,9730,4,-14
101599,9729,18,10
101581,9728,8,-4
101573,9727,12,-12
101561,9726,24,20
101537,9725,4,2
101533,9724,2,-2
101531,9723,4,-10
101527,9722,14,4
101513,9721,10,8
101503,9720,2,-10
101501,9719,12,6
101489,9718,6,0
101483,9717,6,-4
101477,9716,10,-8
101467,9715,18,-2
101449,9714,20,10
101429,9713,10,2
101419,9712,8,-4
101411,9711,12,-4
101399,9710,16,10
101383,9709,6,-8
101377,9708,14,10
101363,9707,4,-8
101359,9706,12,6
101347,9705,6,-2
101341,9704,8,-2
101333,9703,10,-20
101323,9702,30,24
101293,9701,6,0
101287,9700,6,4
101281,9699,2,-4
101279,9698,6,0
101273,9697,6,-40
101267,9696,46,34
101221,9695,12,10
101209,9694,2,-2
101207,9693,4,-2
101203,9692,6,-8
101197,9691,14,4
101183,9690,10,-2
101173,9689,12,10
101161,9688,2,-8
101159,9687,10,2
101149,9686,8,-14
101141,9685,22,20
101119,9684,2,-2
101117,9683,4,2
101113,9682,2,-2
101111,9681,4,-14
101107,9680,18,10
101089,9679,8,-10
101081,9678,18,6
101063,9677,12,-12
101051,9676,24,18
101027,9675,6,-6
101021,9674,12,2
101009,9673,10,-2
100999,9672,12,6
100987,9671,6,-18
100981,9670,24,10
100957,9669,14,8
100943,9668,6,0
100937,9667,6,2
100931,9666,4,-10
100927,9665,14,8
100913,9664,6,-48
100907,9663,54,48
100853,9662,6,-12
100847,9661,18,12
100829,9660,6,-6
100823,9659,12,2
100811,9658,10,8
100801,9657,2,-10
100799,9656,12,-6
100787,9655,18,-4
100769,9654,22,16
100747,9653,6,-2
100741,9652,8,-22
100733,9651,30,26
100703,9650,4,-2
100699,9649,6,-14
100693,9648,20,16
100673,9647,4,-16
100669,9646,20,-8
100649,9645,28,20
100621,9644,8,4
100613,9643,4,-14
100609,9642,18,-14
100591,9641,32,22
100559,9640,10,8
100549,9639,2,-8
100547,9638,10,-4
100537,9637,14,10
100523,9636,4,2
100519,9635,2,-4
100517,9634,6,-4
100511,9633,10,2
100501,9632,8,-2
100493,9631,10,-4
100483,9630,14,4
100469,9629,10,-2
100459,9628,12,-18
100447,9627,30,24
100417,9626,6,-2
100411,9625,8,-2
100403,9624,10,8
100393,9623,2,-10
100391,9622,12,-4
100379,9621,16,14
100363,9620,2,-2
100361,9619,4,-10
100357,9618,14,4
100343,9617,10,-10
100333,9616,20,4
100313,9615,16,10
100297,9614,6,-6
100291,9613,12,4
100279,9612,8,4
100271,9611,4,-26
100267,9610,30,6
100237,9609,24,18
100213,9608,6,-8
100207,9607,14,10
100193,9606,4,-2
100189,9605,6,-8
100183,9604,14,-2
100169,9603,16,14
100153,9602,2,-20
100151,9601,22,2
100129,9600,20,14
100109,9599,6,-28
100103,9598,34,22
100069,9597,12,4
100057,9596,8,2
100049,9595,6,-18
100043,9594,24,8
100019,9593,16,4
100003,9592,12,10
99991,9591,2,-16
99989,9590,18,8
99971,9589,10,-22
99961,9588,32,26
99929,9587,6,-10
99923,9586,16,10
99907,9585,6,-14
99901,9584,20,16
99881,9583,4,-2
99877,9582,6,-6
99871,9581,12,-8
99859,9580,20,14
99839,9579,6,2
99833,9578,4,-2
99829,9577,6,0
99823,9576,6,-2
99817,9575,8,-8
99809,9574,16,10
99793,9573,6,-14
99787,9572,20,14
99767,9571,6,-22
99761,9570,28,16
99733,9569,12,10
99721,9568,2,-4
99719,9567,6,2
99713,9566,4,2
99709,9565,2,-16
99707,9564,18,8
99689,9563,10,-2
99679,9562,12,6
99667,9561,6,-12
99661,9560,18,-2
99643,9559,20,8
99623,9558,12,8
99611,9557,4,-22
99607,9556,26,22
99581,9555,4,-2
99577,9554,6,-2
99571,9553,8,4
99563,9552,4,-4
99559,9551,8,-14
99551,9550,22,20
99529,9549,2,-2
99527,9548,4,-22
99523,9547,26,16
99497,9546,10,-8
99487,9545,18,-12
99469,9544,30,22
99439,9543,8,-14
99431,9542,22,14
99409,9541,8,4
99401,9540,4,-2
99397,9539,6,-8
99391,9538,14,8
99377,9537,6,2
99371,9536,4,-14
99367,9535,18,16
99349,9534,2,-28
99347,9533,30,2
99317,9532,28,16
99289,9531,12,-6
99277,9530,18,16
99259,9529,2,-4
99257,9528,6,-4
99251,9527,10,2
99241,9526,8,-2
99233,9525,10,-22
99223,9524,32,22
99191,9523,10,2
99181,9522,8,-16
99173,9521,24,14
99149,9520,10,8
99139,9519,2,-2
99137,9518,4,2
99133,9517,2,-10
99131,9516,12,2
99119,9515,10,4
99109,9514,6,-8
99103,9513,14,8
99089,9512,6,2
99083,9511,4,-22
99079,9510,26,14
99053,9509,12,-6
99041,9508,18,12
99023,9507,6,2
99017,9506,4,-10
99013,9505,14,8
98999,9504,6,-6
98993,9503,12,-6
98981,9502,18,8
98963,9501,10,4
98953,9500,6,-2
98947,9499,8,-2
98939,9498,10,8
98929,9497,2,-14
98927,9496,16,14
98911,9495,2,-8
98909,9494,10,8
98899,9493,2,-2
98897,9492,4,-2
98893,9491,6,-8
98887,9490,14,10
98873,9489,4,2
98869,9488,2,-16
98867,9487,18,6
98849,9486,12,-16
98837,9485,28,26
98809,9484,2,-4
98807,9483,6,-16
98801,9482,22,16
98779,9481,6,-30
98773,9480,36,30
98737,9479,6,4
98731,9478,2,-10
98729,9477,12,8
98717,9476,4,2
98713,9475,2,-20
98711,9474,22,2
98689,9473,20,14
98669,9472,6,-16
98663,9471,22,20
98641,9470,2,-10
98639,9469,12,6
98627,9468,6,-18
98621,9467,24,0
98597,9466,24,14
98573,9465,10,8
98563,9464,2,-16
98561,9463,18,8
98543,9462,10,-4
98533,9461,14,2
98519,9460,12,-4
98507,9459,16,4
98491,9458,12,6
98479,9457,6,0
98473,9456,6,-2
98467,9455,8,2
98459,9454,6,-4
98453,9453,10,-4
98443,9452,14,4
98429,9451,10,2
98419,9450,8,4
98411,9449,4,-14
98407,9448,18,16
98389,9447,2,-8
98387,9446,10,2
98377,9445,8,-14
98369,9444,22,2
98347,9443,20,16
98327,9442,4,2
98323,9441,2,-2
98321,9440,4,-14
98317,9439,18,16
98299,9438,2,-26
98297,9437,28,16
98269,9436,12,6
98257,9435,6,-18
98251,9434,24,18
98227,9433,6,-2
98221,9432,8,2
98213,9431,6,-22
98207,9430,28,-8
98179,9429,36,22
98143,9428,14,8
98129,9427,6,-16
98123,9426,22,2
98101,9425,20,-4
98081,9424,24,14
98057,9423,10,4
98047,9422,6,-18
98041,9421,24,18
98017,9420,6,4
98011,9419,2,-20
98009,9418,22,8
97987,9417,14,8
97973,9416,6,0
97967,9415,6,-12
97961,9414,18,6
97943,9413,12,8
97931,9412,4,-4
97927,9411,8,-28
97919,9410,36,32
97883,9409,4,-4
97879,9408,8,-2
97871,9407,10,8
97861,9406,2,-8
97859,9405,10,8
97849,9404,2,-2
97847,9403,4,2
97843,9402,2,-10
97841,9401,12,-4
97829,9400,16,-8
97813,9399,24,22
97789,9398,2,-8
97787,9397,10,4
97777,9396,6,-36
97771,9395,42,24
97729,9394,18,-6
97711,9393,24,10
97687,9392,14,-8
97673,9391,22,20
97651,9390,2,-34
97649,9389,36,32
97613,9388,4,2
97609,9387,2,-22
97607,9386,24,20
97583,9385,4,2
97579,9384,2,-4
97577,9383,6,-4
97571,9382,10,2
97561,9381,8,4
97553,9380,4,2
97549,9379,2,-22
97547,9378,24,12
97523,9377,12,2
97511,9376,10,8
97501,9375,2,-34
97499,9374,36,32
97463,9373,4,-2
97459,9372,6,-6
97453,9371,12,0
97441,9370,12,6
97429,9369,6,-20
97423,9368,26,16
97397,9367,10,4
97387,9366,6,4
97381,9365,2,-4
97379,9364,6,2
97373,9363,4,2
97369,9362,2,-38
97367,9361,40,16
97327,9360,24,22
97303,9359,2,-16
97301,9358,18,-6
97283,9357,24,6
97259,9356,18,8
97241,9355,10,-8
97231,9354,18,-8
97213,9353,26,16
97187,9352,10,4
97177,9351,6,4
97171,9350,2,-8
97169,9349,10,8
97159,9348,2,-4
97157,9347,6,-18
97151,9346,24,14
97127,9345,10,-4
97117,9344,14,-8
97103,9343,22,14
97081,9342,8,-26
97073,9341,34,16
97039,9340,18,4
97021,9339,14,10
97007,9338,4,2
97003,9337,2,-2
97001,9336,4,-4
96997,9335,8,-2
96989,9334,10,4
96979,9333,6,-8
96973,9332,14,8
96959,9331,6,-16
96953,9330,22,2
96931,9329,20,16
96911,9328,4,-10
96907,9327,14,-22
96893,9326,36,30
96857,9325,6,2
96851,9324,4,-16
96847,9323,20,16
96827,9322,4,2
96823,9321,2,-20
96821,9320,22,20
96799,9319,2,-8
96797,9318,10,2
96787,9317,8,-2
96779,9316,10,4
96769,9315,6,0
96763,9314,6,-2
96757,9313,8,-2
96749,9312,10,8
96739,9311,2,-4
96737,9310,6,-22
96731,9309,28,22
96703,9308,6,-20
96697,9307,26,22
96671,9306,4,-2
96667,9305,6,-12
96661,9304,18,-24
96643,9303,42,30
96601,9302,12,10
96589,9301,2,-4
96587,9300,6,-18
96581,9299,24,20
96557,9298,4,-22
96553,9297,26,16
96527,9296,10,-10
96517,9295,20,16
96497,9294,4,-2
96493,9293,6,-2
96487,9292,8,-2
96479,9291,10,2
96469,9290,8,4
96461,9289,4,-2
96457,9288,6,-2
96451,9287,8,-4
96443,9286,12,0
96431,9285,12,-6
96419,9284,18,-6
96401,9283,24,0
96377,9282,24,8
96353,9281,16,10
96337,9280,6,4
96331,9279,2,-4
96329,9278,6,-24
96323,9277,30,26
96293,9276,4,-4
96289,9275,8,-4
96281,9274,12,6
96269,9273,6,2
96263,9272,4,-22
96259,9271,26,16
96233,9270,10,8
96223,9269,2,-8
96221,9268,10,-2
96211,9267,12,-6
96199,9266,18,16
96181,9265,2,-10
96179,9264,12,2
96167,9263,10,2
96157,9262,8,-4
96149,9261,12,-28
96137,9260,40,22
96097,9259,18,-2
96079,9258,20,14
96059,9257,6,-4
96053,9256,10,-16
96043,9255,26,22
96017,9254,4,-8
96013,9253,12,0
96001,9252,12,10
95989,9251,2,-14
95987,9250,16,4
95971,9249,12,10
95959,9248,2,-8
95957,9247,10,-8
95947,9246,18,12
95929,9245,6,0
95923,9244,6,0
95917,9243,6,-14
95911,9242,20,10
95891,9241,10,2
95881,9240,8,4
95873,9239,4,-8
95869,9238,12,-26
95857,9237,38,32
95819,9236,6,-4
95813,9235,10,8
95803,9234,2,-8
95801,9233,10,8
95791,9232,2,-4
95789,9231,6,-4
95783,9230,10,-16
95773,9229,26,16
95747,9228,10,4
95737,9227,6,-2
95731,9226,8,2
95723,9225,6,2
95717,9224,4,-2
95713,9223,6,0
95707,9222,6,-44
95701,9221,50,32
95651,9220,18,14
95633,9219,4,-4
95629,9218,8,4
95621,9217,4,-10
95617,9216,14,8
95603,9215,6,-10
95597,9214,16,4
95581,9213,12,4
95569,9212,8,-4
95561,9211,12,2
95549,9210,10,2
95539,9209,8,4
95531,9208,4,-16
95527,9207,20,-4
95507,9206,24,20
95483,9205,4,-4
95479,9204,8,4
95471,9203,4,-2
95467,9202,6,-12
95461,9201,18,16
95443,9200,2,-10
95441,9199,12,2
95429,9198,10,4
95419,9197,6,-6
95413,9196,12,4
95401,9195,8,-2
95393,9194,10,-4
95383,9193,14,-16
95369,9192,30,18
95339,9191,12,2
95327,9190,10,4
95317,9189,6,-18
95311,9188,24,16
95287,9187,8,2
95279,9186,6,0
95273,9185,6,0
95267,9184,6,2
95261,9183,4,-14
95257,9182,18,12
95239,9181,6,4
95233,9180,2,-10
95231,9179,12,6
95219,9178,6,-4
95213,9177,10,-2
95203,9176,12,10
95191,9175,2,-10
95189,9174,12,-12
95177,9173,24,14
95153,9172,10,-2
95143,9171,12,-8
95131,9170,20,16
95111,9169,4,-2
95107,9168,6,-2
95101,9167,8,4
95093,9166,4,2
95089,9165,2,-2
95087,9164,4,-8
95083,9163,12,4
95071,9162,8,-28
95063,9161,36,30
95027,9160,6,-6
95021,9159,12,6
95009,9158,6,2
95003,9157,4,-2
94999,9156,6,-26
94993,9155,32,22
94961,9154,10,8
94951,9153,2,-14
94949,9152,16,-10
94933,9151,26,22
94907,9150,4,-10
94903,9149,14,-2
94889,9148,16,-8
94873,9147,24,22
94849,9146,2,-4
94847,9145,6,2
94841,9144,4,-10
94837,9143,14,10
94823,9142,4,-4
94819,9141,8,-10
94811,9140,18,14
94793,9139,4,-4
94789,9138,8,4
94781,9137,4,-2
94777,9136,6,-18
94771,9135,24,4
94747,9134,20,16
94727,9133,4,-10
94723,9132,14,-2
94709,9131,16,10
94693,9130,6,-30
94687,9129,36,34
94651,9128,2,-26
94649,9127,28,20
94621,9126,8,-2
94613,9125,10,4
94603,9124,6,-8
94597,9123,14,4
94583,9122,10,-2
94573,9121,12,10
94561,9120,2,-10
94559,9119,12,8
94547,9118,4,2
94543,9117,2,-8
94541,9116,10,8
94531,9115,2,-14
94529,9114,16,-14
94513,9113,30,24
94483,9112,6,-8
94477,9111,14,-2
94463,9110,16,10
94447,9109,6,4
94441,9108,2,-4
94439,9107,6,0
94433,9106,6,0
94427,9105,6,-16
94421,9104,22,20
94399,9103,2,-16
94397,9102,18,-10
94379,9101,28,26
94351,9100,2,-4
94349,9099,6,-6
94343,9098,12,8
94331,9097,4,-2
94327,9096,6,-6
94321,9095,12,10
94309,9094,2,-14
94307,9093,16,-2
94291,9092,18,6
94273,9091,12,4
94261,9090,8,-16
94253,9089,24,14
94229,9088,10,-2
94219,9087,12,6
94207,9086,6,-26
94201,9085,32,16
94169,9084,16,14
94153,9083,2,-28
94151,9082,30,26
94121,9081,4,-2
94117,9080,6,4
94111,9079,2,-8
94109,9078,10,-10
94099,9077,20,4
94079,9076,16,10
94063,9075,6,-2
94057,9074,8,-8
94049,9073,16,-8
94033,9072,24,22
94009,9071,2,-8
94007,9070,10,-4
93997,9069,14,10
93983,9068,4,-4
93979,9067,8,4
93971,9066,4,-14
93967,9065,18,10
93949,9064,8,4
93941,9063,4,-10
93937,9062,14,4
93923,9061,10,8
93913,9060,2,-8
93911,9059,10,2
93901,9058,8,4
93893,9057,4,2
93889,9056,2,-14
93887,9055,16,-4
93871,9054,20,-4
93851,9053,24,8
93827,9052,16,14
93811,9051,2,-20
93809,9050,22,-2
93787,9049,24,22
93763,9048,2,-20
93761,9047,22,2
93739,9046,20,4
93719,9045,16,14
93703,9044,2,-16
93701,9043,18,-28
93683,9042,46,38
93637,9041,8,-14
93629,9040,22,16
93607,9039,6,-14
93601,9038,20,2
93581,9037,18,14
93563,9036,4,2
93559,9035,2,-2
93557,9034,4,-20
93553,9033,24,18
93529,9032,6,-14
93523,9031,20,14
93503,9030,6,2
93497,9029,4,2
93493,9028,2,-2
93491,9027,4,-2
93487,9026,6,4
93481,9025,2,-14
93479,9024,16,-20
93463,9023,36,28
93427,9022,8,-4
93419,9021,12,-12
93407,9020,24,18
93383,9019,6,0
93377,9018,6,-28
93371,9017,34,26
93337,9016,8,2
93329,9015,6,2
93323,9014,4,-8
93319,9013,12,-8
93307,9012,20,16
93287,9011,4,2
93283,9010,2,-16
93281,9009,18,12
93263,9008,6,2
93257,9007,4,2
93253,9006,2,-8
93251,9005,10,8
93241,9004,2,-8
93239,9003,10,-20
93229,9002,30,18
93199,9001,12,4
93187,9000,8,-2
93179,8999,10,-8
93169,8998,18,6
93151,8997,12,6
93139,8996,6,4
93133,8995,2,-16
93131,8994,18,8
93113,8993,10,4
93103,8992,6,-2
93097,8991,8,2
93089,8990,6,0
93083,8989,6,-12
93077,8988,18,12
93059,8987,6,0
93053,8986,6,-40
93047,8985,46,38
93001,8984,8,2
92993,8983,6,-22
92987,8982,28,26
92959,8981,2,-4
92957,8980,6,-4
92951,8979,10,-4
92941,8978,14,8
92927,8977,6,-16
92921,8976,22,16
92899,8975,6,-20
92893,8974,26,22
92867,8973,4,2
92863,8972,2,-2
92861,8971,4,-4
92857,8970,8,-10
92849,8969,18,8
92831,8968,10,-2
92821,8967,12,4
92809,8966,8,-2
92801,8965,10,8
92791,8964,2,-8
92789,8963,10,-2
92779,8962,12,6
92767,8961,6,-2
92761,8960,8,-8
92753,8959,16,2
92737,8958,14,8
92723,8957,6,-4
92717,8956,10,2
92707,8955,8,2
92699,8954,6,-4
92693,8953,10,8
92683,8952,2,-8
92681,8951,10,8
92671,8950,2,-10
92669,8949,12,2
92657,8948,10,4
92647,8947,6,4
92641,8946,2,-10
92639,8945,12,8
92627,8944,4,-26
92623,8943,30,18
92593,8942,12,0
92581,8941,12,10
92569,8940,2,-8
92567,8939,10,4
92557,8938,6,-38
92551,8937,44,40
92507,8936,4,-10
92503,8935,14,4
92489,8934,10,-2
92479,8933,12,6
92467,8932,6,4
92461,8931,2,-26
92459,8930,28,16
92431,8929,12,6
92419,8928,6,-6
92413,8927,12,10
92401,8926,2,-10
92399,8925,12,8
92387,8924,4,2
92383,8923,2,-2
92381,8922,4,-4
92377,8921,8,2
92369,8920,6,0
92363,8919,6,2
92357,8918,4,-2
92353,8917,6,-8
92347,8916,14,-2
92333,8915,16,10
92317,8914,6,-8
92311,8913,14,-14
92297,8912,28,10
92269,8911,18,10
92251,8910,8,2
92243,8909,6,2
92237,8908,4,-2
92233,8907,6,0
92227,8906,6,4
92221,8905,2,-14
92219,8904,16,2
92203,8903,14,4
92189,8902,10,8
92179,8901,2,-2
92177,8900,4,-16
92173,8899,20,10
92153,8898,10,-14
92143,8897,24,16
92119,8896,8,4
92111,8895,4,-20
92107,8894,24,18
92083,8893,6,-20
92077,8892,26,16
92051,8891,10,2
92041,8890,8,-16
92033,8889,24,18
92009,8888,6,0
92003,8887,6,-22
91997,8886,28,26
91969,8885,2,-4
91967,8884,6,2
91961,8883,4,-2
91957,8882,6,-2
91951,8881,8,4
91943,8880,4,-14
91939,8879,18,6
91921,8878,12,-24
91909,8877,36,30
91873,8876,6,-20
91867,8875,26,22
91841,8874,4,-10
91837,8873,14,4
91823,8872,10,8
91813,8871,2,-2
91811,8870,4,-2
91807,8869,6,-14
91801,8868,20,10
91781,8867,10,-4
91771,8866,14,10
91757,8865,4,-16
91753,8864,20,-2
91733,8863,22,14
91711,8862,8,-4
91703,8861,12,-6
91691,8860,18,-16
91673,8859,34,26
91639,8858,8,-2
91631,8857,10,-20
91621,8856,30,22
91591,8855,8,2
91583,8854,6,2
91577,8853,4,2
91573,8852,2,-28
91571,8851,30,18
91541,8850,12,-4
91529,8849,16,2
91513,8848,14,8
91499,8847,6,-24
91493,8846,30,26
91463,8845,4,2
91459,8844,2,-2
91457,8843,4,-16
91453,8842,20,10
91433,8841,10,-2
91423,8840,12,-2
91411,8839,14,10
91397,8838,4,-2
91393,8837,6,0
91387,8836,6,-2
91381,8835,8,4
91373,8834,4,2
91369,8833,2,-34
91367,8832,36,14
91331,8831,22,16
91309,8830,6,0
91303,8829,6,0
91297,8828,6,-2
91291,8827,8,-22
91283,8826,30,26
91253,8825,4,-2
91249,8824,6,0
91243,8823,6,-2
91237,8822,8,-22
91229,8821,30,24
91199,8820,6,-4
91193,8819,10,-10
91183,8818,20,16
91163,8817,4,-2
91159,8816,6,4
91153,8815,2,-8
91151,8814,10,8
91141,8813,2,-8
91139,8812,10,8
91129,8811,2,-4
91127,8810,6,-16
91121,8809,22,20
91099,8808,2,-14
91097,8807,16,14
91081,8806,2,-44
91079,8805,46,32
91033,8804,14,4
91019,8803,10,-2
91009,8802,12,4
90997,8801,8,-4
90989,8800,12,6
90977,8799,6,-18
90971,8798,24,8
90947,8797,16,2
90931,8796,14,8
90917,8795,6,2
90911,8794,4,-2
90907,8793,6,-8
90901,8792,14,-10
90887,8791,24,8
90863,8790,16,10
90847,8789,6,-2
90841,8788,8,-2
90833,8787,10,8
90823,8786,2,-16
90821,8785,18,8
90803,8784,10,4
90793,8783,6,-32
90787,8782,38,20
90749,8781,18,-4
90731,8780,22,16
90709,8779,6,0
90703,8778,6,-12
90697,8777,18,16
90679,8776,2,-16
90677,8775,18,6
90659,8774,12,6
90647,8773,6,-4
90641,8772,10,-2
90631,8771,12,10
90619,8770,2,-16
90617,8769,18,2
90599,8768,16,-20
90583,8767,36,22
90547,8766,14,10
90533,8765,4,2
90529,8764,2,-2
90527,8763,4,-8
90523,8762,12,0
90511,8761,12,-6
90499,8760,18,10
90481,8759,8,4
90473,8758,4,-26
90469,8757,30,28
90439,8756,2,-28
90437,8755,30,26
90407,8754,4,2
90403,8753,2,-2
90401,8752,4,-14
90397,8751,18,12
90379,8750,6,4
90373,8749,2,-10
90371,8748,12,6
90359,8747,6,-34
90353,8746,40,16
90313,8745,24,16
90289,8744,8,-2
90281,8743,10,2
90271,8742,8,-8
90263,8741,16,8
90247,8740,8,-4
90239,8739,12,2
90227,8738,10,-4
90217,8737,14,10
90203,8736,4,2
90199,8735,2,-4
90197,8734,6,2
90191,8733,4,-10
90187,8732,14,4
90173,8731,10,-4
90163,8730,14,-8
90149,8729,22,16
90127,8728,6,-8
90121,8727,14,-4
90107,8726,18,2
90089,8725,16,14
90073,8724,2,-2
90071,8723,4,-4
90067,8722,8,2
90059,8721,6,-16
90053,8720,22,14
90031,8719,8,4
90023,8718,4,2
90019,8717,2,-4
90017,8716,6,2
90011,8715,4,-2
90007,8714,6,-6
90001,8713,12,6
89989,8712,6,0
89983,8711,6,-8
89977,8710,14,10
89963,8709,4,-16
89959,8708,20,4
89939,8707,16,10
89923,8706,6,-2
89917,8705,8,-2
89909,8704,10,8
89899,8703,2,-4
89897,8702,6,-18
89891,8701,24,6
89867,8700,18,8
89849,8699,10,4
89839,8698,6,-6
89833,8697,12,10
89821,8696,2,-8
89819,8695,10,-2
89809,8694,12,-2
89797,8693,14,10
89783,8692,4,-8
89779,8691,12,4
89767,8690,8,2
89759,8689,6,-58
89753,8688,64,56
89689,8687,8,-2
89681,8686,10,8
89671,8685,2,-8
89669,8684,10,8
89659,8683,2,-2
89657,8682,4,-16
89653,8681,20,14
89633,8680,6,-10
89627,8679,16,8
89611,8678,8,4
89603,8677,4,2
89599,8676,2,-4
89597,8675,6,-18
89591,8674,24,20
89567,8673,4,2
89563,8672,2,-26
89561,8671,28,22
89533,8670,6,0
89527,8669,6,4
